Energy_code,Energy_source
ABICB,Aviation gasoline blending components consumed by the industrial sector
ABICP,Aviation gasoline blending components consumed by the industrial sector
ARICB,Asphalt and road oil consumed by the industrial sector
ARICD,Asphalt and road oil price in the industrial sector
ARICP,Asphalt and road oil consumed by the industrial sector
ARICV,Asphalt and road oil expenditures in the industrial sector
ARTCB,Asphalt and road oil total consumption
ARTCD,"Asphalt and road oil average price, all sectors"
ARTCP,Asphalt and road oil total consumption
ARTCV,Asphalt and road oil total expenditures
ARTXB,Asphalt and road oil total end-use consumption
ARTXD,"Asphalt and road oil average price, all end-use sectors"
ARTXP,Asphalt and road oil total end-use consumption
ARTXV,Asphalt and road oil total end-use expenditures
AVACB,Aviation gasoline consumed by the transportation sector
AVACD,Aviation gasoline price in the transportation sector
AVACP,Aviation gasoline consumed by the transportation sector
AVACV,Aviation gasoline expenditures in the transportation sector
AVTCB,Aviation gasoline total consumption
AVTCD,"Aviation gasoline average price, all sectors"
AVTCP,Aviation gasoline total consumption
AVTCV,Aviation gasoline total expenditures
AVTXB,Aviation gasoline total end-use consumption
AVTXD,"Aviation gasoline average price, all end-use sectors"
AVTXP,Aviation gasoline total end-use consumption
AVTXV,Aviation gasoline total end-use expenditures
BDACB,Biodiesel consumed by the transportation sector
BDACP,Biodiesel consumed by the transportation sector
BDFDB,Biomass inputs (feedstock) to the production of biodiesel
BDLCB,Energy losses and co-products from the production of biodiesel
BDPRP,Biodiesel production
BDTCB,Biodiesel total consumption
BDTCP,Biodiesel total consumption
BFFDB,Biomass inputs (feedstock) to the production of biofuels
BFLCB,Energy losses and co-products from the production of biofuels
BFPRP,Biofuels production
BFTCB,"Biofuels total consumption, including losses and co-products from the production of biofuels"
BMTCB,Biomass total consumption
BQICB,Normal butane consumed by the industrial sector
BQICP,Normal butane consumed by the industrial sector
BQTCB,Normal butane total consumption
BQTCP,Normal butane total consumption
BYICB,Butylene from refineries consumed by the industrial sector
BYICP,Butylene from refineries consumed by the industrial sector
BYTCB,Butylene from refineries total consumption
BYTCP,Butylene from refineries total consumption
CCEXB,Coal coke exported from the United States 
CCEXD,"Coal coke exports average price, United States"
CCEXP,Coal coke exported from the United States 
CCEXV,"Coal coke exports expenditures, United States"
CCIMB,Coal coke imported into the United States
CCIMD,"Coal coke imports average price, United States"
CCIMP,Coal coke imported into the United States
CCIMV,"Coal coke imports expenditures, United States"
CCNIB,Coal coke net imports into the United States
CCNIP,Coal coke net imports into the United States
CCNIV,"Coal coke net imports expenditures, United States"
CLACB,Coal consumed by the transportation sector
CLACD,Coal price in the transportation sector
CLACK,Factor for converting coal consumed by the transportation sector from physical units to Btu
CLACP,Coal consumed by the transportation sector
CLACV,Coal expenditures in the transportation sector
CLCCB,Coal consumed by the commercial sector
CLCCD,Coal price in the commercial sector
CLCCP,Coal consumed by the commercial sector
CLCCV,Coal expenditures in the commercial sector
CLEIB,Coal consumed by the electric power sector
CLEID,Coal price in the electric power sector
CLEIK,Factor for converting coal consumed by the electric power sector from physical units to Btu
CLEIP,Coal consumed by the electric power sector
CLEIV,Coal expenditures in the electric power sector
CLHCK,Factor for converting coal consumed by the residential and commercial sectors from physical units to Btu
CLICB,Coal consumed by the industrial sector
CLICD,Coal price in the industrial sector
CLICP,Coal consumed by the industrial sector
CLICV,Coal expenditures in the industrial sector
CLISB,Coal consumed by the industrial sector excluding refinery fuel
CLKCB,Coal consumed at coke plants (coking coal)
CLKCD,Coal price at coke plants
CLKCK,Factor for converting coal consumed at coke plants from physical units to Btu
CLKCP,Coal consumed by coke plants (coking coal)
CLKCV,Coal expenditures at coke plants
CLOCB,Coal consumed by industrial users other than coke plants
CLOCD,Coal price in the industrial sector other than coke plants
CLOCK,Factor for converting coal consumed by industrial users other than coke plants from physical units to Btu
CLOCP,Coal consumed by industrial users other than coke plants
CLOCV,Coal expenditures in the industrial sector other than coke plants
CLOSB,Coal consumed by the industrial sector other than coke plants excluding refinery fuel
CLPRB,Coal production
CLPRK,Factor for converting coal production from physical units to Btu
CLPRP,Coal production
CLRCB,Coal consumed by the residential sector
CLRCD,Coal price in the residential sector
CLRCP,Coal consumed by the residential sector
CLRCV,Coal expenditures in the residential sector
CLRFB,Coal consumed as refinery fuel
CLSCB,Coal total consumption adjusted for process fuel
CLTCB,Coal total consumption
CLTCD,"Coal average price, all sectors"
CLTCP,Coal total consumption
CLTCV,Coal total expenditures
CLTXB,Coal total end-use consumption
CLTXD,"Coal average price, all end-use sectors"
CLTXP,Coal total end-use consumption
CLTXV,Coal total end-use expenditures
COICB,Crude oil consumed by the industrial sector
COICP,Crude oil consumed by the industrial sector
COPRK,Factor for converting crude oil production from physical units to Btu
DFACB,Distillate fuel oil consumed by the transportation sector
DFACD,Distillate fuel oil price in the transportation sector
DFACP,Distillate fuel oil consumed by the transportation sector
DFACV,Distillate fuel oil expenditures in the transportation sector
DFCCB,Distillate fuel oil consumed by the commercial sector
DFCCD,Distillate fuel oil price in the commercial sector
DFCCP,Distillate fuel oil consumed by the commercial sector
DFCCV,Distillate fuel oil expenditures in the commercial sector
DFEIB,Distillate fuel oil consumed by the electric power sector
DFEID,Distillate fuel oil price in the electric power sector
DFEIP,Distillate fuel oil consumed by the electric power sector
DFEIV,Distillate fuel oil expenditures in the electric power sector
DFICB,Distillate fuel oil consumed by the industrial sector
DFICD,Distillate fuel oil price in the industrial sector
DFICP,Distillate fuel oil consumed by the industrial sector
DFICV,Distillate fuel oil expenditures in the industrial sector
DFISB,Distillate fuel oil consumed by the industrial sector excluding refinery fuel
DFRCB,Distillate fuel oil consumed by the residential sector
DFRCD,Distillate fuel oil price in the residential sector
DFRCP,Distillate fuel oil consumed by the residential sector
DFRCV,Distillate fuel oil expenditures in the residential sector
DFRFB,Distillate fuel oil consumed as refinery fuel
DFSCB,Distillate fuel oil total consumption adjusted for process fuel
DFTCB,Distillate fuel oil total consumption
DFTCD,"Distillate fuel oil average price, all sectors"
DFTCK,"Factor converting distillate fuel oil physical units to Btu, United States only"
DFTCP,Distillate fuel oil total consumption
DFTCV,Distillate fuel oil total expenditures
DFTXB,Distillate fuel oil total end-use consumption
DFTXD,"Distillate fuel oil average price, all end-use sectors"
DFTXP,Distillate fuel oil total end-use consumption
DFTXV,Distillate fuel oil total end-use expenditures
DMTCB,"Distillate fuel oil, excluding biodiesel, total consumption"
ELEXB,Electricity exported from the United States
ELEXD,Electricity exports average price
ELEXP,Electricity exported from the United States
ELEXV,Electricity exports expenditures
ELIMB,Electricity imported into the United States
ELIMD,Electricity imports average price
ELIMP,Electricity imported into the United States
ELIMV,Electricity imports expenditures
ELISB,Net interstate flow of electricity and associated losses (negative indicates flow out of state)
ELISP,Net interstate flow of electricity (negative indicates flow out of state)
ELNIB,Net imports of electricity into the United States
ELNIP,Net imports of electricity into the United States
EMACB,"Fuel ethanol, excluding denaturant, consumed by the transportation sector   "
EMACV,"Fuel ethanol, excluding denaturant, expenditures in the transportation sector (through 1992)"
EMCCB,"Fuel ethanol, excluding denaturant, consumed by the commercial sector "
EMCCV,"Fuel ethanol, excluding denaturant, expenditures in the commercial sector (through 1992)"
EMFDB,Biomass inputs (feedstock) to the production of fuel ethanol
EMICB,"Fuel ethanol, excluding denaturant, consumed by the industrial sector "
EMICV,"Fuel ethanol, excluding denaturant, expenditures in the industrial sector (through 1992)"
EMLCB,Energy losses and co-products from the production of fuel ethanol
EMTCB,"Fuel ethanol, excluding denaturant, total consumption"
EMTCV,"Fuel ethanol, excluding denaturant, total expenditures (through 1992)"
ENACP,"Fuel ethanol, including denaturant, consumed by the transportation sector"
ENCCP,"Fuel ethanol, including denaturant, consumed by the commercial sector"
ENICP,"Fuel ethanol, including denaturant, consumed by the industrial sector"
ENPRP,"Fuel ethanol production, including denaturant"
ENTCK,Factor for converting fuel ethanol consumption from physical units to Btu
ENTCP,"Fuel ethanol, including denaturant, total consumption"
EQICB,Ethane consumed by the industrial sector
EQICP,Ethane consumed by the industrial sector
EQTCB,Ethane total consumption
EQTCP,Ethane total consumption
ESACB,"Electricity consumed by (i.e., sold to) the transportation sector"
ESACD,Electricity price in the transportation sector
ESACP,"Electricity consumed by (i.e., sold to) the transportation sector"
ESACV,Electricity expenditures in the transportation sector
ESCCB,"Electricity consumed by (i.e., sold to) the commercial sector"
ESCCD,Electricity price in the commercial sector
ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector"
ESCCV,Electricity expenditures in the commercial sector
ESICB,"Electricity consumed by (i.e., sold to) the industrial sector"
ESICD,Electricity price in the industrial sector
ESICP,"Electricity consumed by (i.e., sold to) the industrial sector"
ESICV,Electricity expenditures in the industrial sector
ESISB,Electricity sales to the industrial sector excluding refinery use
ESRCB,"Electricity consumed by (i.e., sold to) the residential sector"
ESRCD,Electricity price in the residential sector
ESRCP,"Electricity consumed by (i.e., sold to) the residential sector"
ESRCV,Electricity expenditures in the residential sector
ESRFB,Electricity consumed by refineries
ESRPP,"Electricity consumed by (i.e., sold to) the residential sector per capita"
ESSCB,Electricity total consumption adjusted for process fuel
ESTCB,"Electricity total consumption (i.e., retail sales)"
ESTCD,"Electricity average price, all sectors"
ESTCP,"Electricity total consumption (i.e., retail sales)"
ESTCV,Electricity total expenditures
ESTPP,"Electricity total consumption (i.e., retail sales) per capita"
ESTXB,"Electricity total end-use consumption (i.e., retail sales)"
ESTXD,"Electricity average price, all end-use sectors"
ESTXP,"Electricity total end-use consumption (i.e., retail sales)"
ESTXV,Electricity total end-use expenditures
EYICB,Ethylene from refineries consumed by the industrial sector
EYICP,Ethylene from refineries consumed by the industrial sector
EYTCB,Ethylene from refineries total consumption
EYTCP,Ethylene from refineries total consumption
FFETK,"Fossil fueled steam-electric power plant conversion factor, United States only"
FFTCB,Fossil fuels total consumption
FNICB,"Petrochemical feedstocks, naphtha, less than 401° F, consumed by the industrial sector"
FNICD,"Petrochemical feedstocks, naphtha less than 401° F, price in the industrial sector"
FNICP,"Petrochemical feedstocks, naphtha less than 401° F, consumed by the industrial sector"
FNICV,"Petrochemical feedstocks, naphtha less than 401° F, expenditures in the industrial sector"
FOICB,"Petrochemical feedstocks, other oils equal to or greater than 401° F, consumed by the industrial sector"
FOICD,"Petrochemical feedstocks, other oils equal to or greater than 401° F, price in the industrial sector"
FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401° F, consumed by the industrial sector"
FOICV,"Petrochemical feedstocks, other oils equal to or greater than 401° F, expenditures in the industrial sector"
FSICB,"Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)"
FSICD,"Petrochemical feedstocks, still gas, price in the industrial sector"
FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector"
FSICV,"Petrochemical feedstocks, still gas, expenditures in the industrial sector"
GDPRV,Current-dollar gross domestic product
GDPRX,Real gross domestic product
GECCB,Geothermal energy consumed by the commercial sector
GEEGB,Geothermal energy consumed for electricity generation by the electric power sector
GEEGP,Geothermal electricity net generation in the electric power sector
GEICB,Geothermal energy consumed by the industrial sector
GERCB,Geothermal energy consumed by the residential sector
GETCB,Geothermal energy total consumption
GETXB,Geothermal energy total end-use consumption
HLACB,Hydrocarbon gas liquids consumed by the transportation sector
HLACD,Hydrocarbon gas liquids price in the transportation sector
HLACP,Hydrocarbon gas liquids consumed by the transportation sector
HLACV,Hydrocarbon gas liquids expenditures in the transportation sector
HLCCB,Hydrocarbon gas liquids consumed by the commercial sector
HLCCD,Hydrocarbon gas liquids price in the commercial sector
HLCCP,Hydrocarbon gas liquids consumed by the commercial sector
HLCCV,Hydrocarbon gas liquids expenditures in the commercial sector
HLICB,Hydrocarbon gas liquids consumed by the industrial sector
HLICD,Hydrocarbon gas liquids price in the industrial sector
HLICK,Average conversion factor for industrial consumption of hydrocarbon gas liquids
HLICP,Hydrocarbon gas liquids consumed by the industrial sector
HLICV,Hydrocarbon gas liquids expenditures in the industrial sector
HLISB,Hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel
HLRCB,Hydrocarbon gas liquids consumed by the residential sector
HLRCD,Hydrocarbon gas liquids price in the residential sector
HLRCP,Hydrocarbon gas liquids consumed by the residential sector
HLRCV,Hydrocarbon gas liquids expenditures in the residential sector
HLRFB,Hydrocarbon gas liquids consumed as refinery fuel and intermediate products
HLSCB,Hydrocarbon gas liquids total consumption adjusted for processed fuel
HLTCB,Hydrocarbon gas liquids total consumption
HLTCD,"Hydrocarbon gas liquids average price, all sectors"
HLTCK,Factor for converting hydrocarbon gas liquids physical units to Btu
HLTCP,Hydrocarbon gas liquids total consumption
HLTCV,Hydrocarbon gas liquids total expenditures
HLTXB,Hydrocarbon gas liquids total end-use consumption
HLTXD,"Hydrocarbon gas liquids average price, all end-use sectors"
HLTXP,Hydrocarbon gas liquids total end-use consumption
HLTXV,Hydrocarbon gas liquids total end-use expenditures
HYCCB,Hydropower consumed by the commercial sector
HYCCP,Hydroelectricity net generation in the commercial sector
HYEGB,Hydropower consumed for electricity generation by the electric power sector
HYEGP,Hydroelectricity net generation in the electric power sector
HYICB,Hydropower consumed by the industrial sector
HYICP,Hydroelectricity net generation in the industrial sector
HYTCB,Hydropower total consumption
HYTCP,Hydroelectricity total net generation
HYTXB,Hydropower total end-use consumption
HYTXP,"Hydroelectricity, total end-use net generation"
IQICB,Isobutane consumed by the industrial sector
IQICP,Isobutane consumed by the industrial sector
IQTCB,Isobutane total consumption
IQTCP,Isobutane total consumption
IYICB,Isobutylene from refineries consumed by the industrial sector
IYICP,Isobutylene from refineries consumed by the industrial sector
IYTCB,Isobutylene from refineries total consumption
IYTCP,Isobutylene from refineries total consumption
JFACB,Jet fuel consumed by the transportation sector
JFACD,Jet fuel price in the transportation sector
JFACP,Jet fuel consumed by the transportation sector
JFACV,Jet fuel expenditures in the transportation sector
JFTCB,Jet fuel total consumption
JFTCD,"Jet fuel average price, all sectors"
JFTCP,Jet fuel total consumption
JFTCV,Jet fuel total expenditures
JFTXB,Jet fuel total end-use consumption
JFTXD,"Jet fuel average price, all end-use sectors"
JFTXP,Jet fuel total end-use consumption
JFTXV,Jet fuel total end-use expenditures
KSCCB,Kerosene consumed by the commercial sector
KSCCD,Kerosene price in the commercial sector
KSCCP,Kerosene consumed by the commercial sector
KSCCV,Kerosene expenditures in the commercial sector
KSICB,Kerosene consumed by the industrial sector
KSICD,Kerosene price in the industrial sector
KSICP,Kerosene consumed by the industrial sector
KSICV,Kerosene expenditures in the industrial sector
KSRCB,Kerosene consumed by the residential sector
KSRCD,Kerosene price in the residential sector
KSRCP,Kerosene consumed by the residential sector
KSRCV,Kerosene expenditures in the residential sector
KSTCB,Kerosene total consumption
KSTCD,"Kerosene average price, all sectors"
KSTCP,Kerosene total consumption
KSTCV,Kerosene total expenditures
KSTXB,Kerosene total end-use consumption
KSTXD,"Kerosene average price, all end-use sectors"
KSTXP,Kerosene total end-use consumption
KSTXV,Kerosene total end-use expenditures
LOACB,The transportation sector's share of electrical system energy losses
LOCCB,The commercial sector's share of electrical system energy losses
LOICB,The industrial sector's share of electrical system energy losses
LORCB,The residential sector's share of electrical system energy losses
LOTCB,Total electrical system energy losses
LOTXB,Total electrical system energy losses allocated to the end-use sectors
LUACB,Lubricants consumed by the transportation sector
LUACD,Lubricants price in the transportation sector
LUACP,Lubricants consumed by the transportation sector
LUACV,Lubricants expenditures in the transportation sector
LUICB,Lubricants consumed by the industrial sector
LUICD,Lubricants price in the industrial sector
LUICP,Lubricants consumed by the industrial sector
LUICV,Lubricants expenditures in the industrial sector
LUTCB,Lubricants total consumption
LUTCD,"Lubricants average price, all sectors"
LUTCP,Lubricants total consumption
LUTCV,Lubricants total expenditures
LUTXB,Lubricants total end-use consumption
LUTXD,"Lubricants average price, all end-use sectors"
LUTXP,Lubricants total end-use consumption
LUTXV,Lubricants total end-use expenditures
MBICB,Motor gasoline blending components consumed by the industrial sector
MBICP,Motor gasoline blending components consumed by the industrial sector
MBTCK,"Factor converting motor gasoline blending components physical units to Btu, United States only"
MGACB,Motor gasoline consumed by the transportation sector
MGACD,Motor gasoline price in the transportation sector
MGACP,Motor gasoline consumed by the transportation sector
MGACV,Motor gasoline expenditures in the transportation sector
MGCCB,Motor gasoline consumed by the commercial sector
MGCCD,Motor gasoline price in the commercial sector
MGCCP,Motor gasoline consumed by the commercial sector
MGCCV,Motor gasoline expenditures in the commercial sector
MGICB,Motor gasoline consumed by the industrial sector
MGICD,Motor gasoline price in the industrial sector
MGICP,Motor gasoline consumed by the industrial sector
MGICV,Motor gasoline expenditures in the industrial sector
MGTCB,Motor gasoline total consumption
MGTCD,"Motor gasoline average price, all sectors"
MGTCK,"Factor converting motor gasoline physical units to Btu, United States only"
MGTCP,Motor gasoline total consumption
MGTCV,Motor gasoline total expenditures
MGTPV,Motor gasoline expenditures per capita
MGTXB,Motor gasoline total end-use consumption
MGTXD,"Motor gasoline average price, all end-use sectors"
MGTXP,Motor gasoline total end-use consumption
MGTXV,Motor gasoline total end-use expenditures
MMTCB,"Motor gasoline total consumption, excluding fuel ethanol"
MSICB,Miscellaneous petroleum products consumed by the industrial sector
MSICD,Miscellaneous petroleum products price in the industrial sector
MSICP,Miscellaneous petroleum products consumed by the industrial sector
MSICV,Miscellaneous petroleum products expenditures in the industrial sector
NAICB,Natural gasoline consumed by the industrial sector (through 1983)
NAICP,Natural gasoline consumed by the industrial sector (through 1983)
NCPRB,Noncombustible renewable energy production
NGACB,Natural gas consumed by the transportation sector 
NGACD,Natural gas price in the transportation sector
NGACP,Natural gas consumed by the transportation sector
NGACV,Natural gas expenditures in the transportation sector
NGASB,Natural gas consumed by the transportation sector adjusted for process fuel
NGCCB,Natural gas consumed by (delivered to) the commercial sector
NGCCD,Natural gas price in the commercial sector
NGCCP,Natural gas consumed by (delivered to) the commercial sector
NGCCV,Natural gas expenditures in the commercial sector
NGEIB,Natural gas consumed by the electric power sector
NGEID,Natural gas price in the electric power sector
NGEIK,Factor for converting natural gas consumed by the electric power sector from physical units to Btu
NGEIP,Natural gas consumed by the electric power sector
NGEIV,Natural gas expenditures in the electric power sector
NGICB,Natural gas consumed by the industrial sector
NGICD,Natural gas price in the industrial sector
NGICP,Natural gas consumed by the industrial sector
NGICV,Natural gas expenditures in the industrial sector
